Simulation,Metric Type,Avg Diff,Median Diff,Improved,Same,Worse,Std Dev,p-value,Significant
Simulation 1,capacity,-5.96%,-2.89%,67.0%,33.0%,0.0%,8.00%,0.000000,Yes
Simulation 1,consumption,-4.48%,-1.47%,63.3%,36.0%,0.7%,6.82%,0.000000,Yes
Simulation 2,capacity,-6.80%,-3.38%,67.3%,32.7%,0.0%,8.64%,0.000000,Yes
Simulation 2,consumption,-4.92%,-1.69%,62.7%,34.3%,3.0%,7.93%,0.000000,Yes
Simulation 3,capacity,-5.59%,-2.57%,68.3%,31.7%,0.0%,7.38%,0.000000,Yes
Simulation 3,consumption,-3.69%,-1.65%,62.7%,32.7%,4.7%,5.80%,0.000000,Yes
Simulation 4,capacity,-6.92%,-3.39%,65.3%,34.7%,0.0%,9.14%,0.000000,Yes
Simulation 4,consumption,-4.75%,-1.47%,60.3%,39.7%,0.0%,7.19%,0.000000,Yes
Simulation 5,capacity,-5.90%,-1.46%,62.0%,38.0%,0.0%,8.36%,0.000000,Yes
Simulation 5,consumption,-4.47%,-1.22%,59.3%,40.7%,0.0%,6.75%,0.000000,Yes
